389	101	0.478957	4.4
203	79	0.408537	4.375
370	94	0.525939	3.63636
103	75	0.229988	3.78125
76	73	0.179126	5.97297
277	124	0.22627	8
1832	316	0.230431	2.09804
1667	315	0.211011	2.03846
226	144	0.13689	13.4
4	20	0.12566	4.75
346	99	0.4434	2.5
139	77	0.2944548	5.33333
8	24	0.174444	6.58333
113	79	0.227412	5.57724
16	21	0.455692	3.25
388	137	0.259645	7.625
265	81	0.507301	2.06667
11	15	0.614044	2
110	94	0.15636	6.65476
16	21	0.455692	3.17391
384	100	0.482304	3.5
16	22	0.415207	1.8125
93	50	0.467232	4.2
12	26	0.222959	13
11	48	0.0599653	11.5
321	88	0.52063	3.18182
218	94	0.309878	7.16667
460	104	0.534172	3.66667
221	84	0.39339	4.11111
225	87	0.373365	4.875
1573	393	0.127918	2.78846
1709	407	0.129581	2.94231
2161	419	0.154602	2.84906
409	141	0.258389	2.02105
931	233	0.215391	1.21154
1861	301	0.25799	1.82353
2394	413	0.176284	2.82692
2142	416	0.155461	3.05882
2003	374	0.179857	2.61538
3240	401	0.253073	2.88462
1313	320	0.161048	1.98113
1647	319	0.203283	2.07692
2253	309	0.29637	2.01923
1107	308	0.146567	1.90385
2159	306	0.289601	2.09804
1601	320	0.196373	2.09615
1663	315	0.210504	2.03846
1531	344	0.162498	2.03846
1500	318	0.186306	1.98077
3658	272	0.621006	1.39655
3414	253	0.669903	1.36207
3365	284	0.524008	1.41379
2540	337	0.280908	1.64912
3094	283	0.485218	1.48276
3755	267	0.661572	1.49123
3679	298	0.52034	1.5
2868	328	0.334827	1.45614
333	122	0.281005	6.33333
3434	406	0.26166	2.42105
2992	421	0.212025	2.53571
741	151	0.408182	3.82353
645	178	0.255687	1.79412
598	152	0.32509	2.67103
756	149	0.4277	4.33333
377	150	0.21045	10.1429
1984	292	0.292257	1.54386
2227	300	0.31079	1.45614
2760	271	0.47202	1.46429
2571	308	0.340401	1.57895
1935	318	0.240335	1.63158
1849	404	0.142287	1.57895
1899	294	0.275943	1.5614
1883	330	0.217176	1.57895
1053	292	0.302422	1.54386
934	235	0.212423	11
1208	196	0.394952	5.11765
623	144	0.377357	4.74899
579	131	0.423766	4.26721
1350	205	0.403474	4.78947
1043	231	0.245499	9.81818
984	191	0.33878	6.07143
771	196	0.252076	3.20064
1132	229	0.271122	1.95225
2614	255	0.504911	1.17241
1737	329	0.201557	1.45614
1696	347	0.176912	1.27586
1872	310	0.244665	1.34483
2177	328	0.254156	1.36207
1895	293	0.277245	1
1374	253	0.26961	1.23404
1636	310	0.213821	1.10526
1356	235	0.308399	1.14
1962	216	0.528179	1.09615
1940	225	0.481312	1.11765
1650	307	0.219886	1.10526
1516	271	0.259269	1.18367
1555	250	0.312493	1.05556
2268	221	0.583241	1
1806	269	0.313475	1.03636
2183	291	0.323786	1.59649
1721	312	0.222055	1.78947
2155	308	0.285322	1.78947
2791	278	0.453586	1.57895
2359	301	0.327028	1.5614
2592	286	0.398009	1.61404
2161	314	0.275287	1.7931
1860	305	0.251132	1.63793
2081	293	0.304457	1.58621
3254	335	0.364181	1.82143
2964	337	0.327799	1.75862
3311	359	0.322671	2.17857
3620	305	0.488763	1.66071
3384	276	0.557954	1.60714
2798	345	0.295256	1.83929
3076	364	0.29159	2.14035
3117	310	0.407383	1.83636
3625	292	0.533989	1.83636
1736	338	0.190856	1.86207
2604	326	0.307748	1.91228
2013	329	0.233583	1.87719
2086	319	0.257468	1.98214
1115	219	0.291996	1.18367
716	140	0.458824	4.28571
1717	355	0.171121	1.98276
1162	218	0.307102	1.20833
62	51	0.299393	1.5
68	46	0.403629	1.26042
1782	321	0.217214	1.96429
242	93	0.35143	5.85714
217	89	0.344088	5.57143
1207	261	0.222544	9.61539
1418	266	0.251711	8.4
1327	265	0.237339	9
432	115	0.410278	3.17857
38	41	0.283926	1.03846
2772	344	0.288909	1.81356
350	114	0.338258	6.375
2692	347	0.280806	1.94915
721	158	0.362753	4.85714
385	89	0.610478	2.76923
1107	246	0.229756	8.92308
137	54	0.590096	2.625
2383	218	0.629797	1.22449
